id,genres,production_companies,cast,crew,production_countries,spoken_languages,year,weekday,month,cast_power,cast_number,crew_number,spoken_languages_number,runtime,popularity,budget,imdb_rating,imdb_votes
7292,Comedy Thriller,Studio_Green Thirukumaran_Entertainment,Vijay_Sethupathi Sanchita_Shetty Radha_Ravi M._S._Bhaskar Ashok_Selvan Bobby_Simha Yog_Japee RJ_Ramesh_Thilak Karunakaran Ramdoss Anjali_Rao,C._V._Kumar Leo_John_Paul Santhosh_Narayanan Nalan_Kumarasamy Nalan_Kumarasamy Nalan_Kumarasamy Srinivasa_Kavineyam Dinesh_Krishnan Vishnu_Govind Sree_Sankar,IN,ta,2013,Wednesday,May,324271.55,11,10,1,138.0,1.217786,310000,8.3,8602
7293,Action Crime Thriller,Solar_Productions First_Artists Foster-Brower_Productions,Steve_McQueen Ali_MacGraw Ben_Johnson Al_Lettieri Sally_Struthers Slim_Pickens Richard_Bright Jack_Dodson Dub_Taylor Bo_Hopkins Roy_Jenson John_Bryson Bill_Hart Tom_Runyon Whitney_Jones Tommy_Bush,Angelo_P._Graham George_R._Nelson Walter_Hill Jim_Thompson Lucien_Ballard Sam_Peckinpah David_Foster Ted_Haworth Quincy_Jones Robert_L._Wolfe Michael_Preece Whitey_Hughes Josef_von_Stroheim,US,en,1972,Wednesday,Dec,7506866.780000001,16,13,1,118.0,10.037593,3352254,7.4,27459
7294,Horror,N/A,Miki_Nakatani Hitomi_Sat√¥ Kyoko_Fukada Fumiyo_Kohinata Kenjiro_Ishimaru Y≈´rei_Yanagi Rikiya_√îtaka Y√¥ichi_Numata Masako Miwako_Kaji Katsumi_Muramatsu Daisuke_Ban Rie_Ino'o Reita_Serizawa Shinmei_Tsuji Nanako_Matsushima,Hideo_Nakata Hiroshi_Takahashi Masato_Harada Kenji_Kawai Hideo_Yamamoto,JP,ja,1999,Saturday,Jan,5756550.23,16,5,1,92.0,5.277814,6000000,5.9,12354
7295,Comedy Drama,Paramount_Pictures Rysher_Entertainment,Howard_Stern Mary_McCormack Kelly_Bishop Paul_Giamatti Leslie_Bibb Allison_Janney Robin_Quivers Fred_Norris Gary_Dell'Abate Jackie_Martling Carol_Alt Richard_Portnow Henry_Goodman Jonathan_Hadary Paul_Hecht Michael_Murphy James_Murtaugh Reni_Santoni Lee_Wilkof Melanie_Good Theresa_Lynn Amber_Smith Jenna_Jameson Bobby_Boriello Michael_Maccarone John_Michael_Bolger John_Stamos Flavor_Flav M.C._Hammer Ted_Nugent Ozzy_Osbourne Slash John_Popper Dee_Snider Tiny_Tim Steven_Gilborn Wendy_Hoopes Janine_Lindemulder Michael_C._Gwynne Joanne_Camp David_Letterman Sarah_Hyland Edie_Falco Mia_Farrow Iggy_Pop,Celia_D._Costas Walt_Lloyd Peter_Teschner Betty_Thomas Len_Blum Daniel_Goldberg Joe_Medjuck Michael_Kalesniko Howard_Stern Van_Dyke_Parks,US,en,1997,Friday,Mar,35583445.13999999,45,10,1,109.0,10.928417,28000000,6.9,33549
7296,Documentary,VisionQuest_Productions,Imogene_Robinson Victor_Robinson Gene_Robinson Isabella_'Boo'_McDaniel,Darin_Kuhlmann Chris_Dobbs Mark_Suozzo Mark_Suozzo Nancy_Kennedy Nancy_Kennedy Keith_Lewis Daniel_G._Karslake_ Daniel_G._Karslake_ Daniel_G._Karslake_ Brian_Knappenberger Michael_Huffington Jim_Cushinery Helen_R._Mendoza Helen_R._Mendoza Helen_R._Mendoza Bruce_Bastian Robin_Voss Bob_Greenbaum Karen_Ellis Sandra_Hartness Michael_A._Leppen Tyrone_Edwards James_Mathers Tom_Fahey Kat_Patterson Mark_Falstad Dave_Roberson Bob_Gunter Mike_Simon Guy_Hernandez Rob_Van_Praag Gregg_Hoerdemann Brad_Waigt Ian_Young Dana_Duke Kevin_Eller Peter_Haas Hank_Holton Gil_Nobrega Kevin_Raullerson Tom_Alford Derek_Johnston Gerard_Bonette Mark_Maloof Carl_Franson David_Poole David_Hand Simon_Woodward Heidi_Hesse Mark_Herscovitz Frank_Gabriel Brad_Graeber Bruce_Tinnin Scott_Anderson,US,en,2007,Friday,Oct,0.0,4,55,1,98.0,1.032566,0,7.8,4323
7297,Horror,International_Production_Company Raw_Nerve Lionsgate Next_Entertainment Screen_Gems Hostel_LLC,Jay_Hernandez Derek_Richardson Eythor_Gudjonsson Barbara_Nedeljakova Jana_Kaderabkova Jan_Vlas√°k Lubomir_Bukovy Takashi_Miike Keiko_Seiko Jana_Havlickova Rick_Hoffman Petr_Janis Jennifer_Lim Eli_Roth Josef_Bradna,Quentin_Tarantino Chris_Briggs Mike_Fleiss George_Folsey_Jr. Scott_G.G._Haller Robert_Kurtzman Scott_Spiegel Franco-Giacomo_Carbone Franco-Giacomo_Carbone Sean_McCormack Kami_Asgar Eli_Roth Eli_Roth Eli_Roth Milan_Chadima Filipp_Grammatikos David_Baxa Nathan_Barr Kelly_Wagner Milan_Babik Boaz_Yakin Karel_Van√°sek Paloma_Soledad Martina_Ter-Akopow√° Tim_Tuchrello Jana_Dopitov√° Bob_Beemer Petr_Konr√°d Rico_Torres Brian_Richards Brian_Best Martin_Pryca Pavel_Vokoun Kazi_Kopecka Tateum_Kohut Herwig_Maurer Petr_Stuchl√≠k Marcelo_Teson Vlasta_Hynek Ivan_Vorl√≠cek Rini_Lemanova Andy_Schoneberg Pavel_Vencl Ludek_Hynek Vlada_Muller Jitka_Novotna Honza_Ondrovcak Jan_Ondrovcak Gerry_Cueller Greg_Danylyshyn Karen_Guthery,US,en,2005,Thursday,Jan,9666850.059999999,15,51,1,94.0,12.093928,4800000,5.9,167496
7298,Comedy Drama Thriller,October_Films Moonstone_Entertainment Elysian_Dreams Kudzu,Glenn_Close Julianne_Moore Liv_Tyler Patricia_Neal Chris_O'Donnell Charles_S._Dutton Ned_Beatty Courtney_B._Vance Donald_Moffat Danny_Darst Matt_Malloy Randle_Mell Niecy_Nash Rufus_Thomas Ruby_Wilson Anne_Whitfield Red_West Ferguson_Reid Christopher_Coulson,Richard_L._Johnson Javier_Bennassar Robert_Altman Robert_Altman Stephen_Altman Pam_Dixon Ernst_Etchie_Stroh David_A._Stewart Anne_Rapp Toyomichi_Kurita Helena_Lea Abraham_Lim Thomas_Kittle,US,en,1999,Friday,Jan,18075489.52,19,13,1,118.0,3.3806839999999996,10000000,6.8,12648
7299,Comedy,The_Guber-Peters_Company Warner_Bros.,Madonna Griffin_Dunne Bibi_Besch John_McMartin John_Mills Haviland_Morris Coati_Mundi Drew_Pillsbury Robert_Swan Stanley_Tucci Arthur_Tovey Dennis_Burkley Karen_Elise_Baldwin Crystal_Carson Elaine_Wilkes,James_Foley Ken_Finkleman Andrew_Smith Roger_Birnbaum Peter_Guber Jon_Peters Rosilyn_Heller Bernard_Williams Pembroke_J._Herring Glenn_Daniels Ida_Random Donald_B._Woodruff Cloudia_Rebar Deborah_Lynn_Scott Andrew_Smith Jane_O'Neal Jan_de_Bont Kerry_Lyn_McKissick J√ºrgen_Vollmer Ed_White Robert_G._Henderson Alan_Robert_Murray Kevin_O'Connell Rick_Kline Donald_O._Mitchell James_Hebenstreit Stephen_Bray Kenneth_Karman Robin_Citrin Ned_R._Shapiro,US,en,1987,Friday,Aug,8741087.7,15,30,1,92.0,3.78346,0,4.8,9354
7300,Crime Drama,ATO_Pictures Werc_Werk_Works,Greg_Kinnear Lea_Thompson Billy_Crudup Alan_Arkin Scott_Crouch Bob_Balaban David_Harbour Peter_Moore,Jill_Sprecher Jill_Sprecher Peter_Moore Karen_Sprecher,US,en it pl es,2011,Monday,Jan,3206257.19,8,4,4,93.0,9.64235,0,6.2,4603
7301,Fantasy Romance Family Comedy,Fox_2000_Pictures Storefront_Pictures,Emma_Roberts Joanna_'JoJo'_Levesque Sara_Paxton Jake_McDorman Arielle_Kebbel Claudia_Karvan Bruce_Spence Tammin_Sursok Roy_Billing Julia_Blake Shaun_Micallef Lulu_McClatchy Natasha_Cunningham Dichen_Lachman Lincoln_Lewis Matthew_Okine Joey_Massey Alice_Hunter Regis_Broadway Robbie_Parkin Aurea_Morrisey E.G._Daily Ozzie_Devrish,Nelson_Coates Brian_J._Breheny Susan_Cartsonis David_Hirschfelder Alice_Hoffman Jessica_Bendinger John_Quaintance Jane_Moran Elizabeth_Allen_Rosenbaum Steven_R._McGlothen Bill_Booth Lenny_Holmdahl Matt_Slattery Sally_Sharpe Jennifer_L'Huillier,AU US,en,2006,Friday,Mar,27588380.34,23,15,1,104.0,11.29062,12000000,5.3,37433
7302,Comedy Drama,Duplass_Brothers_Productions Through_Films,Kitana_Kiki_Rodriguez Mya_Taylor Karren_Karagulian Mickey_O'Hagen James_Ransone Alla_Tumanian Luiza_Nersisyan Arsen_Grigoryan Ian_Edwards Scott_Krinsky Clu_Gulager Ana_Foxxx Chelcie_Lynn John_Gulager Josh_Sussman,Jay_Duplass Mark_Duplass Sean_Baker Sean_Baker Sean_Baker Sean_Baker Sean_Baker Sean_Baker Shih-Ching_Tsou Shih-Ching_Tsou Kevin_Chinoy Francesca_Silvestri Karren_Karagulian Chris_Bergoch Chris_Bergoch Chris_Bergoch Radium_Cheung Radium_Cheung Darren_Dean Karrie_Cox Marcus_Cox Julie_Cummings,US,hy en,2015,Friday,Jul,306544.4200000001,15,22,2,87.0,4.832631,100000,7.1,26532
7303,Romance Comedy Drama,Lotte_Entertainment,Park_Joong-hoon Jung_Yu-mi Park_Won-sang Jeong_Woo-hyuk Jeong_In-gi Kwon_Yul Min_Kyung-jin Yang_Eun-yong,Lee_Jin Kim_Kwang-sik Kim_Kwang-sik Je-kyoon_Yoon Young-Jin_Mok,KR,ko,2010,Thursday,May,1141766.17,8,5,1,100.0,1.049484,800000,6.8,407
7304,Drama Romance,Lions_Gate_Films Lee_Daniels_Entertainment,Halle_Berry Billy_Bob_Thornton Heath_Ledger Sean_Combs Coronji_Calhoun Peter_Boyle Taylor_Simpson Gabrielle_Witcher Amber_Rules Yasiin_Bey Taylor_LaGrange Charles_Cowan_Jr. Anthony_Bean Francine_Segal John_McConnell Marcus_Lyle_Brown Milo_Addica Bernard_Johnson,Milo_Addica Will_Rokos Roberto_Schaefer Matt_Chesse Monroe_Kelly Marc_Forster Danny_Lee Frank_L._Fleming Kerry_Barden Mark_Bennett Billy_Hopkins Suzanne_Smith Lee_Daniels Leonard_R._Spears Joani_Yarbrough Sterfon_Demings Lynne_K._Eagan Mary_Burton Mary_Frances_Eglin Donna_Chance Caroline_Eselin_Shaefer,US,en,2001,Sunday,Nov,7953739.57,18,21,1,111.0,6.341187000000001,4000000,7.0,81745
7305,Action Comedy Family,Warner_Bros.,Rebecca_De_Mornay Mary_Gross Fred_Dalton_Thompson Larry_Cedar Ken_Marshall,Ivan_Reitman Len_Blum Daniel_Goldberg Daniel_Goldberg,US,en,1988,Friday,Oct,1710578.41,5,4,1,90.0,3.139282,0,5.5,2880
7306,Fantasy Adventure Animation Comedy Family,DreamWorks_SKG DreamWorks_Animation,Mike_Myers Eddie_Murphy Cameron_Diaz Julie_Andrews Antonio_Banderas John_Cleese Rupert_Everett Eric_Idle Amy_Sedaris Justin_Timberlake John_Krasinski Maya_Rudolph Amy_Poehler Seth_Rogen David_P._Smith Susanne_Blakeslee Cody_Cameron Larry_King Christopher_Knights Ian_McShane Cheri_Oteri Regis_Philbin Conrad_Vernon Aron_Warner Jasper_Johannes_Andrews Guillaume_Aretos Kelly_Asbury Zachary_James_Bernard Andrew_Birch Sean_Bishop Kelly_Cooney Walt_Dohrn Dante_James_Hauser Jordan_Alexander_Hauser Tom_Kane Tom_McGrath Chris_Miller Latifa_Ouaou Alina_Phelan Mark_Valley Kari_Wahlgren,Andrew_Adamson Harry_Gregson-Williams Aron_Warner Guillaume_Aretos John_H._Williams Chris_Miller Raman_Hui Jeffrey_Price Peter_S._Seaman Jon_Zack Joyce_Arrastia Denise_Nolan_Cascino Emilio_Ghorayeb Aaron_Williams Michael_Andrews,US,en,2007,Thursday,May,154008186.55000004,41,15,1,93.0,14.072479000000001,160000000,6.1,275615
7307,Drama Romance,Triumph_Films Pacific_Motion_Pictures_Corporation Stewart_Pictures,Craig_Sheffer Sheryl_Lee Terence_Stamp Casey_Siemaszko Spalding_Gray Leigh_Taylor-Young Lois_Chiles Blu_Mankuma Ken_Camroux Pamela_Perry Eli_Gabay Molly_Parker Hiro_Kanagawa Merrilyn_Gann Gillian_Barber,Lance_Young Lance_Young Matthew_O'Connor Allyn_Stewart Lisa_Towers Eric_Norlin William_Heslup Glenn_Daniels Mike_Molloy Allan_Lee Jan_A.P._Kaczmarek,CA US,en,1997,Monday,Apr,6678108.33,15,11,1,103.0,1.262649,0,6.0,2076
7308,Comedy Family Fantasy,Tag_Entertainment Broomstick_Entertainment Majestic_Film_Partners,Howie_Mandel Taylor_Momsen Jacob_Smith Delta_Burke Alana_Austin Gerald_McRaney Lynn_Redgrave Dakota_Fanning Bobcat_Goldthwait Sinbad Tom_Arnold,Gary_J._Tunnicliffe,US,en it,2002,Wednesday,Oct,7679118.5200000005,11,1,2,89.0,2.1866790000000003,0,4.2,1193
7309,Drama,United_Artists Florin_Productions Jerome_Hellman_Productions,Dustin_Hoffman Jon_Voight Sylvia_Miles John_McGiver Brenda_Vaccaro Barnard_Hughes Ruth_White Jennifer_Salt Gilman_Rankin T._Tom_Marlow George_Eppersen Georgann_Johnson Bob_Balaban Marlene_Clark Jan_Tice Al_Scott Linda_Davis Arlene_Reeder Jonathan_Kramer Anthony_Holland Paul_Benjamin Arthur_Anderson Tina_Scala Alma_Felix Richard_Clarke Ann_Thomas Paul_Rossilli Viva Ultra_Violet Paul_Jabara International_Velvet Cecelia_Lipson Taylor_Mead Paul_Morrissey Joan_Murphy Al_Stetson Pat_Ast Mary_Boylan Randall_Carver Robert_Dahdah Trent_Gough Paul_Jasmin Barbara_Maggio Jay_Morran Renee_Semes Jeffrey_Walker M._Emmet_Walsh Bill_Walters Waldo_Salt,John_Barry John_Barry Kenneth_Utt Ann_Roth Hugh_A._Robertson Waldo_Salt John_Schlesinger James_Leo_Herlihy Jerome_Hellman Adam_Holender Philip_Smith John_Robert_Lloyd Hal_Schaffel,US,en it,1969,Sunday,May,17466372.43,49,13,2,113.0,10.579988,3600000,7.8,99229
7310,Action Adventure Science_Fiction,Handistom_Investment Kings_Road_Entertainment Kamisha_Corporation,Rutger_Hauer Joan_Chen Delroy_Lindo Anna_Katarina Vincent_D'Onofrio Gandhi_MacIntyre Justin_Monjo Casey_Huang Quang_Dinh John_Doumtsis Cecilia_Wong Hugh_Keays-Byrne Max_Fairchild,David_Webb_Peoples David_Webb_Peoples Richard_Francis-Bruce Richard_Francis-Bruce Charles_Roven David_Eggby John_Stoddart John_Wingrove Terry_Ryan Frances_McDonald Neville_Maxwell Alison_Barrett Bonnie_Timmermann Kate_Green Helen_Mather Liz_Neate Todd_Boekelheide,US AU,en,1989,Thursday,Oct,4012222.0699999994,13,17,1,100.0,10.3371,0,6.5,6265
7311,Drama Thriller Comedy,Warner_Bros.,Ricardo_Dar√≠n Leonardo_Sbaraglia Dar√≠o_Grandinetti √ârica_Rivas Nancy_Dupl√°a Mar√≠a_Onetto Rita_Cortese Julieta_Zylberberg Mar√≠a_Marull M√≥nica_Villa Oscar_Mart√≠nez Walter_Donado Germ√°n_de_Silva C√©sar_Bord√≥n Osmar_N√∫√±ez,Gustavo_Santaolalla Javier_Julia Pablo_Barbieri_Carrera Javier_Braier Mar√≠a_Clara_Notari Ruth_Fischerman Jos√©_Luis_D√≠az Diego_Gat Javier_Farina Anal√≠a_Castro_Valsecchi Agust√≠n_Almod√≥var Pedro_Almod√≥var Leticia_Cristi Esther_Garc√≠a Mat√≠as_Mosteir√≠n Hugo_Sigman Pola_Zito Dami√°n_Szifr√≥n Dami√°n_Szifr√≥n Agustin_Barrutia Gabriel_Quevedo Eduardo_Puga Federico_Ransenberg Antonio_Lado Rub√©n_Sanz Nahuel_Palenque Nerina_Valido Gonzalo_Matijas Lorena_Lisotti Lorena_Lisotti Agostina_De_Francesco,AR ES,es,2014,Thursday,Aug,607438.95,15,31,1,125.0,8.764888000000001,0,8.1,172051
7312,Action Adventure Science_Fiction Thriller,StudioCanal M6_Films Canal+ CinéCinéma Babylon Babylon_Films_Limited M6 MNP_Entreprise,Vin_Diesel Michelle_Yeoh M√©lanie_Thierry Lambert_Wilson Charlotte_Rampling G√©rard_Depardieu Mark_Strong J√©r√¥me_Le_Banner Joel_Kirby Souleymane_Dicko Radek_Bruna David_Belle Jan_Unger Abraham_Belaga David_Gasman Gary_Cowan Lemmy_Constantine Pete_Thias Curtis_Matthew,Thierry_Arbogast Mathieu_Kassovitz Mathieu_Kassovitz Jina_Jay Kenny_Bates Jindrich_Koc√≠ Alain_Goldman Olivier_Raoux Sonja_Klaus Robert_Cowper John_King Nicolas_Becker Nicolas_Becker Karen_Wakefield Chattoune Nancy_Bishop Beno√Æt_Jaubert Benjamin_Weill Paul_Cross √âric_Besnard Maurice_G._Dantec Atli_√ñrvarsson Marc_Vade David_Belle Christien_Tinsley Fran√ßois_Daignault Martin_Grosup Bob_Brown Stanislas_Reydellet Gigi_Akoka Del_Spiva Simon_Werry Guy_Ferrandis Stephane_Ceretti Milena_Koubkova Milena_Koubkova Claudio_Campana Ora_Ito Peter_James Laure_Lepelley-Monbillard Stephen_Wong Francesca_Cross Michel_Pag√®s Sylvie_Ong Paula_Casarin Michaela_Flenerov√° Jiri_Husak Gr√©ggory_Poncelet Aurelia_Abate Katerina_van_Gemundova Jan_Kodera Luc√≠a_Bretones-M√©ndez Marc_Olla Sophie_Couderc Arthur_Wicks Zuzana_Cizmarova Pascal_Armant Ken_Yasumoto Ken_Yasumoto Fran√ßois-Joseph_Hors Selim_Azzazi St√©phanie_Pedelacq Thomas_Duval Kenneth_Svedlund Mark_Rimmer Roland_Savoye Nils-Erik_J√§rvi Kriz_David Stephanie_Broussaud Jaroslav_Vaculik David_Koranda Martin_Maryska,FR GB,en ru,2008,Wednesday,Aug,62939190.129999995,19,72,2,101.0,9.273808,70000000,5.6,92659
7313,Drama Thriller Mystery,Paramount_Pictures Appian_Way Phoenix_Pictures Sikelia_Productions,Leonardo_DiCaprio Mark_Ruffalo Ben_Kingsley Emily_Mortimer Michelle_Williams Max_von_Sydow Jackie_Earle_Haley Patricia_Clarkson Ted_Levine John_Carroll_Lynch Elias_Koteas Robin_Bartlett Christopher_Denham Spencer_Treat_Clark Joseph_Sikora Curtiss_Cook Gary_Galone John_Franchi Nellie_Sciutto Raymond_Anthony_Thomas Joseph_McKenna Ruby_Jerins Tom_Kemp Bates_Wilder Drew_Beasley Dan_Marshall,Robert_Richardson Martin_Scorsese Martin_Scorsese Eugene_Gearty Ellen_Lewis Dante_Ferretti Thelma_Schoonmaker Robert_Guerra Dennis_Lehane Francesca_Lo_Schiavo Sandy_Powell Laeta_Kalogridis Christina_Ann_Wilson Mike_Medavoy Arnold_Messer Robbie_Robertson Fred_Rosenberg Max_Biscoe Larry_McConkey Manlio_Rocchetti Jerry_Popolis Philip_Stockton Andrew_Cooper Tom_Fleischman Jennifer_Dunnington Robin_Citrin Louis_Phillips Meghan_Rafferty Petur_Hliddal,US,en de,2010,Thursday,Feb,46590786.67000001,26,29,2,138.0,15.813629,80000000,8.2,1103593
7314,Action Drama Comedy,CJ_Entertainment,Hyun_Bin Yoo_Hae-jin Kim_Joo-hyuk Jang_Young-nam Im_Yoon-ah Lee_Dong-Hwi Lee_Hae-yeong,Sang-joon_Hwang Yoon_Je-Kyun Sung-hoon_Kim Yoon_Hyeon-ho,KR,ko,2017,Wednesday,Jan,8520000.01,7,4,1,125.0,1.75859,8520000,6.6,2459
7315,Comedy,Warner_Bros.,Bobcat_Goldthwait John_Candy Dabney_Coleman Virginia_Madsen Cindy_Pickett Jim_Metzler Gilbert_Gottfried,Wendy_Finerman Steve_Tisch Danny_Elfman Mickey_S._Michaels Dallas_Puett Frank_Morriss Victor_J._Kemper Melissa_Skoff Charlie_Peters Michael_Dinner Stephen_Neigher William_F._Matthews Hugo_Gilbert Phil_Rawlins Judy_Cammer,US,en,1988,Friday,Aug,3982120.13,7,15,1,88.0,1.9916099999999999,9000000,4.5,3024
7316,Animation Drama,Studio_Ghibli Hakuhodo_DY_Media_Partners KDDI_Corporation Nippon_Television_Network_(NTV) Mitsubishi_Motors_Corporation,Sara_Takatsuki Kasumi_Arimura Nanako_Matsushima Susumu_Terajima Toshie_Negishi Ry√¥ko_Moriyama Kazuko_Yoshiyuki Hitomi_Kuroki Hiroyuki_Morisaki Takuma_Otoo Hana_Sugisaki Bari_Suzuki Shigeyuki_Totsugi Ken_Yasuda Yo_Oizumi,Joan_G._Robinson Hiromasa_Yonebayashi Masashi_Ando Keiko_Niwa Hiromasa_Yonebayashi Takatsugu_Muramatsu Masashi_Ando K√¥ji_Hoshino Yoshiaki_Nishimura Yohei_Taneda Yohei_Taneda,JP,ja,2014,Saturday,Jul,4154338.86,15,11,1,103.0,9.342061,0,7.7,31141
7317,Drama Horror Mystery Thriller,Plum_Pictures Harbor_Light_Entertainment Lleju_Productions,Liam_Neeson Justin_Long Christina_Ricci Josh_Charles Chandler_Canterbury Celia_Weston Shuler_Hensley Anna_Kuchma Rosemary_Murphy Laurel_Bryce Luz_Alexandra_Ramos Malachy_McCourt Alice_Drummond Jack_Rovello Doan_Ly Sam_Kressner_ Prudence_Wright_Holmes Barbara_Singer Laurie_Cole Chris_Jackson,Niven_Howie Paul_Haslinger Manny_Siverio Bill_Perkins Anastas_N._Michos Anastas_N._Michos Ford_Wheeler Matthew_Lessall Celine_Rattray Luca_Mosca Marko_A._Costanzo Brad_M._Gilbert Agnieszka_Wojtowicz-Vosloo Agnieszka_Wojtowicz-Vosloo Anu_Schwartz Paul_Vosloo Jakub_Korolczuk Coll_Anderson Coll_Anderson Drew_Jiritano Nicki_Ledermann Barbara_Jean_Kearney Stuart_Auld Gail_A._Fitzgibbons Tora_Peterson Dominick_Tavella Hope_Ardizzone Paul_James_Hecker Renee_Kildow Phillip_Schneider John_Stachowicz William_Valentin Ann_McKinnon Thomas_A._Delillo Richard_Hebrank Rumiko_Ishii Ralph_Costanza Shannon_Hall Carson_Hood John_Clifford Shawn_Greene Heather_Norton Chris_Newlin Gregory_Cuozzo Veronica_Lupu,US,en,2010,Friday,Apr,36554191.47,20,45,1,104.0,9.063797000000001,4500000,5.9,36016
7318,Action Adventure Drama History War,Paramount_Pictures Seven_Arts_Pictures Munich_Film_Partners_&_Company_(MFP)_ROE_Production,Tommy_Lee_Jones Samuel_L._Jackson Guy_Pearce Ben_Kingsley Bruce_Greenwood Anne_Archer Blair_Underwood Philip_Baker_Hall Dale_Dye Amidou,Denise_Chamian Richard_D._Zanuck Stephen_Gaghan Scott_Rudin Robert_W._Laing Mark_Isham William_Cruse Steve_Boeddeker Steve_Boeddeker Arne_Schmidt Buddy_Joe_Hooker Gloria_Gresham Andy_Nicholson Roberto_Malerba William_A._Fraker Tim_Monich William_Friedkin Greg_P._Russell Russell_Williams_II Nicola_Pecorini Jeffrey_J._Dashnaw Scott_Curtis Augie_Hess Adam_Schroeder Jim_Webb Jim_Webb Newt_Arnold Dick_Wood Allan_A._Apone Beau_Borders David_Israel Patrick_Bramucci Paul_J._Lombardi Mitchell_Ray_Kenney Gail_Rowell-Ryan Carin_Rogers William_S._Maxwell_III Terry_Haggar Sam_Emerson Kevin_O'Connell Ronald_Eng Mike_Szakmeister Debra_Wolff Erik_Nash Christopher_Scarabosio Denise_Ballantyne Thomas_A._Carlson Pete_Cavaciuti Pete_Cavaciuti Alessio_Bramucci Thom_'Coach'_Ehle P.R._Tooke Joel_Rom√°n_Mend√≠as Barry_Bedig Cydney_Cornell Kelly_Porter Brian_Penikas Bryan_Booth Carlos_H._S√°nchez David_Fencl Alan_Day Carl_Catanese Mark_Van_Loon Mark_Van_Loon Martin_Bosworth Christopher_Woodworth Cullen_G._Chambers Edward_Cook Tony_Capasso Robert_Heine Peter_Hansen Stacy_De_La_Motte Kieran_Woo Thomas_Cooper Jason_Shea Austin_Thompson Dusty_Saunders Wayne_Tidwell Stephen_Thorp Daniel_Dietrich Norma_Smith Nanette_Siegert Michael_A._Patillo Hanson_Hsu,US,ar en,2000,Friday,Apr,27195314.05,10,84,2,128.0,10.278274,60000000,6.4,43918
7319,Drama Thriller Horror,South_Australian_Film_Corporation Screen_Australia Smoking_Gun_Productions Causeway_Films,Essie_Davis Noah_Wiseman Daniel_Henshall Hayley_McElhinney Cathy_Adamek Craig_Behenna Benjamin_Winspear Chloe_Hurn Pippa_Wanganeen Peta_Shannon Michelle_Nightingale Barbara_West Tony_Mack Carmel_Johnson Adam_Morgan Michael_Gilmour Craig_McArdle Jacquy_Phillips Terence_Crawford Tiffany_Lyndall-Knight Lucy_Hong Sophie_Riggs John_Maurice Stephen_Sheehan Alicia_Zorkovic Tim_Purcell Bridget_Walters Lotte_Crawford Chris_Roberts Annie_Batten India_Zorkovic Isla_Zorkovic Charlie_Crabtree Ethan_Grabis Sophie_Allan Hachi,Jennifer_Kent Jennifer_Kent Kristina_Ceyton Kristian_Moliere Jed_Kurzel Radek_Ladczuk Simon_Njoo Nikki_Barrett Karen_Hannaford Jennifer_Drake Heather_Wallace Tracy_Phillpot Marion_Lee Ross_Perkin John_Haratzis Des_Kenneally James_Carroll John_Simpson Frank_Lipson Peter_D._Smith Clint_Dodd Marty_Pepper Reg_Roordink Robertto_Karas Nima_Nabili_Rad Louis_Puli Matt_Nettheim Michael_Fairbairn Sean_Lahiff Taera_Shroff Scott_McDonald Chris_Chamberlin Alex_Holmes,CA AU,en,2014,Thursday,May,7016029.940000002,36,33,1,93.0,8.832788,2000000,6.8,191644
7320,Drama Fantasy,River_Road_Entertainment Participant_Media Apaches_Entertainment La_Trini,Lewis_MacDougall Sigourney_Weaver Felicity_Jones Toby_Kebbell Liam_Neeson Geraldine_Chaplin Jennifer_Lim James_Melville Lily-Rose_Aslandogdu Dominic_Boyle Max_Gabbay Oliver_Steer Ben_Moor Frida_Palsson,Shaheen_Baig Jonathan_King Patrick_Wachsberger Bernat_Vilaplana Eugenio_Caballero Pilar_Revuelta √Ålvaro_August√≠n Bel√©n_Atienza Enrique_L√≥pez_Lavigne Ghislain_Barrois Jeff_Skoll Bill_Pohlad Juan_Antonio_Bayona Fernando_Vel√°zquez √ìscar_Faura Jaume_Mart√≠ Sandra_Hermida Sandra_Hermida Tom_Holland Sarah_Wheale Patrick_Ness Patrick_Ness Patrick_Ness D√≠dac_Bono Ravi_Bansal Mitch_Horwits Jaime_Anduiza Siobhan_Dowd Steven_Noble,ES US,en,2016,Friday,Oct,35398245.11,14,29,1,108.0,24.483893,43000000,7.5,79122
7321,Drama,Televisión_Española_(TVE) Instituto_de_la_Cinematografía_y_de_las_Artes_Audiovisuales_(ICAA) Media_Films ICF_Institut_Català_de_Finances Instituto_de_Crédito_Oficial_(ICO),El_Langui Ovono_Candela Javier_Iglesias_Bustamante Elio_Toffana Mala_Rodr√≠guez Juan_Navarro Diego_Carrasco Younes_Bachir Alicia_Orozco,Lloren√ß_Miquel Consol_Tura Iv√°n_Morales Jaume_Mart√≠ Luis_de_Val Albert_Pascual Santiago_Zannou Santiago_A._Zannou Juantxo_Grafulla Patricia_Font Aitana_de_Val Woulfrank_Zannou,ES,es,2008,Friday,Nov,54792.22,9,12,1,0.0,0.191219,0,6.4,529
